"","2010","","","","","","","","","","","","2013","","","","","","","","",""
"Country","TB","Malaria ","HIV","RoundWorm","HookWorm","WhipWorm","Schistosomiasis","Onchocerciasis","LF","NTDs","Total","Country","TB","Malaria ","HIV","RoundWorm","HookWorm","WhipWorm","Schistosomiasis","Onchocerciasis","LF","Total"
"Sum","103,250,127.98","134,422,768.33","85,818,380.20","1,094,508.31","474,664.35","109,507.00","2,579,472.93","N/A - No model","1,732,635.42","5,990,788.00","329,482,064.52","Sum","93,022,308.52","85,631,012.77","76,401,951.92","1,557,624.66","454,057.90","102,773.72","2,125,167.40","1,042,281.34","1,363,235.75","260,337,178.23"
"Afghanistan","971,911.13","246,339.27","24,069.09","12,940.67","227.23","213.53","0.00","","0.00","13,381.43","1,255,700.92","Afghanistan","866,912.89","115,789.88","6,965.01","14,353.46","248.93","227.35","0.00","0.00","0.00","1,004,497.52"
"Albania","5,227.81","3.62","2,038.61","1.56","0.00","0.00","0.00","","0.00","1.56","7,271.59","Albania","1,827.78","0.00","85.12","1.06","0.00","0.00","0.00","0.00","0.00","1,913.96"
"Algeria","202,547.44","12.60","51,642.56","157.11","0.38","1.57","5,615.93","","0.00","5,775.00","259,977.61","Algeria","116,411.39","886.35","4,316.84","143.26","0.40","1.50","5,580.51","0.00","0.00","127,340.25"
"American Samoa","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","121.68","121.68","121.68","American Samoa","0.00","0.00","109.78","0.00","0.00","0.00","0.00","0.00","133.03","109.78"
"Andorra","60.40","0.06","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","60.46","Andorra","0.00","0.00","62.38","0.00","0.00","0.00","0.00","0.00","0.00","62.38"
"Angola","524,757.47","5,911.28","711,773.20","13,881.11","5,387.66","672.17","28,952.22","","21,679.42","70,572.58","1,313,014.53","Angola","717,505.59","1,172,629.05","686,295.76","9,094.41","5,814.55","741.12","28,157.13","6,996.83","24,183.44","2,627,234.44"
"Anguilla","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","Anguilla","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Antigua and Barbuda","62.99","0.07","410.00","0.05","0.00","0.00","19.50","","0.00","19.55","492.61","Antigua and Barbuda","179.56","0.00","485.45","0.05","0.00","0.00","20.37","0.00","0.00","685.42"
"Argentina","66,142.56","38.77","91,482.58","203.11","733.32","1.44","0.00","","0.00","937.87","158,601.78","Argentina","50,967.12","100.00","88,936.50","192.65","734.88","1.42","0.00","0.00","0.00","140,932.57"
"Armenia","14,640.33","1.00","6,795.21","1.22","0.08","0.00","0.00","","0.00","1.30","21,437.83","Armenia","11,279.43","0.00","1,371.42","1.01","0.07","0.00","0.00","0.00","0.00","12,651.93"
"Aruba","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","Aruba","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Australia","5,317.79","80.38","8,231.23","0.00","0.00","0.00","0.00","","0.00","0.00","13,629.40","Australia","4,229.07","0.00","5,557.28","0.00","0.00","0.00","0.00","0.00","0.00","9,786.35"
"Austria","4,021.01","2.24","3,846.19","0.00","0.00","0.00","0.00","","0.00","0.00","7,869.43","Austria","2,926.71","0.00","3,808.71","0.00","0.00","0.00","0.00","0.00","0.00","6,735.43"
"Azerbaijan","74,602.31","12.26","8,138.17","29.04","0.09","0.00","0.00","","0.00","29.13","82,781.86","Azerbaijan","67,689.57","0.00","2,584.30","20.40","0.09","0.00","0.00","0.00","0.00","70,294.36"
"Bahamas","496.51","0.50","0.00","0.15","0.00","0.00","0.00","","0.00","0.15","497.16","Bahamas","0.00","0.00","0.00","0.13","0.00","0.00","0.00","0.00","0.00","0.14"
"Bahrain","2,353.34","0.60","3,598.91","0.00","0.01","0.00","0.00","","0.00","0.01","5,952.86","Bahrain","1,001.21","0.00","820.42","0.00","0.01","0.00","0.00","0.00","0.00","1,821.64"
"Bangladesh","2,391,793.15","201,174.95","12,305.62","62,667.19","39,713.58","11,055.45","0.00","","126,731.86","240,168.08","2,845,441.81","Bangladesh","1,068,324.13","11,362.61","15,022.45","50,358.27","34,322.64","10,135.54","0.00","0.00","23,381.09","1,189,525.63"
"Barbados","156.60","0.31","2,069.16","0.00","0.00","0.00","0.00","","0.00","0.00","2,226.07","Barbados","493.62","0.00","1,219.35","0.00","0.00","0.00","0.00","0.00","0.00","1,712.97"
"Belarus","57,324.06","25.42","13,724.25","0.00","0.00","0.00","0.00","","0.00","0.00","71,073.73","Belarus","48,093.62","0.00","20,200.78","0.00","0.00","0.00","0.00","0.00","0.00","68,294.39"
"Belgium","6,471.34","4.52","5,291.82","0.00","0.00","0.00","0.00","","0.00","0.00","11,767.69","Belgium","4,811.46","0.00","4,579.95","0.00","0.00","0.00","0.00","0.00","0.00","9,391.41"
"Belize","1,107.53","109.62","9,961.98","12.16","8.74","0.10","0.00","","0.00","21.00","11,200.14","Belize","404.37","118.49","5,205.54","9.80","5.22","0.07","0.00","0.00","0.00","5,743.49"
"Benin","175,295.84","2,105,858.44","154,766.30","3,214.19","660.14","0.45","44,443.19","","8,723.25","57,041.22","2,492,961.79","Benin","162,491.76","778,068.42","148,887.38","2,850.96","702.20","0.48","37,883.67","452.40","6,879.92","1,131,337.28"
"Bermuda","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","Bermuda","0.00","0.00","389.66","0.00","0.00","0.00","0.00","0.00","0.00","389.66"
"Bhutan","10,820.73","817.85","1,782.51","79.53","8.65","0.29","0.00","","0.00","88.46","13,509.55","Bhutan","6,887.71","836.42","1,616.73","48.77","8.38","0.27","0.00","0.00","0.00","9,398.28"
"Bolivia","137,292.45","1,652.47","63,298.61","633.18","1,756.42","34.52","0.00","","0.00","2,424.11","204,667.64","Bolivia","50,576.26","352.48","28,490.49","490.88","1,750.94","34.49","0.00","0.00","0.00","81,695.54"
"Bonaire, Saint Eustatius and Saba","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","Bonaire, Saint Eustatius and Saba","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Bosnia and Herzegovina","13,158.24","3.59","2,392.33","0.00","0.00","0.00","0.00","","0.00","0.00","15,554.16","Bosnia and Herzegovina","8,343.79","0.00","155.42","0.00","0.00","0.00","0.00","0.00","0.00","8,499.20"
"Botswana","37,911.88","15,603.75","241,276.27","20.87","477.99","95.55","2,934.93","","0.00","3,529.34","298,321.24","Botswana","89,374.78","12,595.10","374,482.90","17.74","478.38","96.13","3,297.03","0.00","0.00","480,342.05"
"Brazil","598,862.35","15,441.84","1,019,780.81","7,233.14","8,169.70","2,550.35","130,174.17","","218.14","148,345.51","1,782,430.50","Brazil","471,894.12","18,624.82","836,436.74","6,710.30","7,665.10","2,464.51","111,647.23","37.93","38.30","1,455,480.75"
"British Virgin Islands","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","British Virgin Islands","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Brunei Darussalam","1,290.13","0.09","218.10","0.24","0.00","0.00","0.00","","37.82","38.05","1,546.37","Brunei Darussalam","610.64","0.00","0.00","0.22","0.00","0.00","0.00","0.00","0.00","610.86"
"Bulgaria","19,954.83","6.02","9,669.64","0.00","0.00","0.00","0.00","","0.00","0.00","29,630.48","Bulgaria","9,587.16","0.00","2,574.43","0.00","0.00","0.00","0.00","0.00","0.00","12,161.58"
"Burkina Faso","371,895.05","5,069,997.95","371,597.06","6,753.38","1,321.85","0.22","46,426.08","","32,381.39","86,882.92","5,900,372.98","Burkina Faso","387,528.94","2,694,030.19","255,082.35","6,536.57","1,361.14","0.22","17,978.15","0.00","19,273.89","3,362,517.56"
"Burundi","836,517.96","1,190,933.60","566,036.45","3,166.15","3,822.89","183.32","21,184.61","","0.00","28,356.96","2,621,844.97","Burundi","640,119.28","1,160,521.54","246,688.27","3,457.26","3,693.67","174.13","16,538.73","11,750.14","0.00","2,082,943.00"
"Cambodia","405,360.20","109,004.81","86,290.55","418.02","193.04","0.00","35,700.61","","454.22","36,765.87","637,421.43","Cambodia","251,889.58","65,703.83","103,200.38","235.44","67.64","0.00","13,255.06","0.00","830.38","434,351.92"
"Cameroon","334,160.28","3,519,956.25","1,707,691.27","219,824.60","5,441.11","2,617.39","57,566.40","","30,691.15","316,140.66","5,877,948.46","Cameroon","368,850.11","1,927,321.60","1,614,946.27","806,631.44","4,494.00","2,139.85","40,755.37","82,597.89","26,772.04","4,847,736.51"
"Canada","9,427.47","115.87","33,172.09","0.00","0.00","0.00","0.00","","0.00","0.00","42,715.43","Canada","6,827.51","0.00","22,174.23","0.00","0.00","0.00","0.00","0.00","0.00","29,001.74"
"Cape Verde","3,172.94","4,643.77","5,964.21","0.64","1.00","0.00","0.00","","0.00","1.64","13,782.57","Cape Verde","3,408.14","0.00","7,114.37","0.45","0.88","0.00","0.00","0.00","0.00","10,523.83"
"Cayman Islands","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","Cayman Islands","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Central African Republic","319,525.99","757,572.80","509,405.72","6,695.56","2,210.69","39.11","4,657.86","","9,366.13","22,969.35","1,609,473.86","Central African Republic","284,527.96","354,786.54","485,702.89","6,166.43","2,296.90","40.10","4,225.30","22,395.11","9,859.54","1,160,141.23"
"Chad","377,528.46","1,555,816.82","519,001.10","6,257.48","4,191.14","0.22","27,040.55","","12,242.84","49,732.23","2,502,078.61","Chad","440,145.77","1,019,656.62","637,642.35","5,981.62","4,689.68","0.24","30,176.13","12,650.77","13,666.89","2,150,943.18"
"Chile","32,962.27","5.07","32,178.17","318.15","0.16","11.89","0.00","","0.00","330.20","65,475.71","Chile","28,104.39","0.00","26,979.14","314.53","0.12","11.44","0.00","0.00","0.00","55,409.62"
"China","3,670,429.36","12,290.16","1,807,612.53","9,505.75","34,728.69","2,068.43","48,561.28","","0.00","94,864.15","5,585,196.21","China","3,430,786.50","11,926.25","1,117,607.27","7,414.47","30,865.03","1,915.42","34,174.36","0.00","0.00","4,634,689.31"
"China, Hong Kong SAR","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","China, Hong Kong SAR","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"China, Macao SAR","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","China, Macao SAR","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Colombia","113,127.61","4,280.75","481,796.02","8,948.44","6,289.68","4,323.06","0.00","","0.00","19,561.18","618,765.57","Colombia","96,003.28","37,907.31","165,964.11","5,955.10","5,189.49","1,800.54","0.00","0.00","0.00","312,819.83"
"Comoros","21,589.08","51,431.73","14.41","364.26","244.28","176.09","0.00","","1,069.96","1,854.58","74,889.81","Comoros","24,022.73","19,089.11","1,294.62","293.55","263.32","189.86","0.00","0.00","1,108.75","45,153.21"
"Congo","117,862.05","433,931.35","268,259.56","2,627.97","1,289.81","759.38","11,189.29","","7,865.25","23,731.70","843,784.66","Congo","100,446.47","183,666.38","250,273.48","2,037.00","1,282.76","713.96","10,275.79","1,683.04","5,074.79","550,378.87"
"Cook Islands","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","Cook Islands","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Costa Rica","5,764.89","2.98","8,911.12","191.83","313.82","24.41","0.00","","0.00","530.06","15,209.05","Costa Rica","4,200.30","0.00","8,249.89","178.40","316.01","23.30","0.00","0.00","0.00","12,967.91"
"C??te d'Ivoire","525,963.68","3,335,139.83","1,396,911.38","8,394.07","6,287.90","307.09","89,156.60","","29,068.25","133,213.91","5,391,228.81","C??te d'Ivoire","512,036.24","1,655,385.91","0.00","10,384.94","6,528.54","326.00","80,924.25","0.00","31,363.79","2,265,585.89"
"Croatia","7,162.03","3.51","993.74","0.00","0.00","0.00","0.00","","0.00","0.00","8,159.27","Croatia","4,325.46","0.00","339.83","0.00","0.00","0.00","0.00","0.00","0.00","4,665.29"
"Cuba","7,649.56","8.48","21,902.92","615.36","906.10","24.32","0.00","","0.00","1,545.78","31,106.74","Cuba","3,407.28","0.00","19,566.27","595.79","891.21","23.21","0.00","0.00","0.00","24,483.76"
"Cura??ao","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","Cura??ao","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Cyprus","244.00","0.35","588.48","0.00","0.00","0.00","0.00","","0.00","0.00","832.83","Cyprus","188.06","0.00","299.22","0.00","0.00","0.00","0.00","0.00","0.00","487.28"
"Czech Republic","6,599.44","9.36","982.18","0.00","0.00","0.00","0.00","","0.00","0.00","7,590.98","Czech Republic","3,640.00","0.00","830.80","0.00","0.00","0.00","0.00","0.00","0.00","4,470.80"
"Democratic People's Republic of Korea","367,445.34","33.52","9,291.26","824.02","0.31","0.00","0.00","","0.00","824.33","377,594.45","Democratic People's Republic of Korea","225,092.05","118.63","0.00","674.03","0.31","0.00","0.00","0.00","0.00","225,885.02"
"Democratic Republic of the Congo","3,730,361.07","12,426,837.43","2,802,918.31","70,591.47","21,981.50","4,020.57","190,912.35","","23,392.40","310,898.28","19,271,015.10","Democratic Republic of the Congo","3,024,472.96","4,412,540.63","1,911,736.79","72,147.56","23,991.52","4,424.01","198,194.13","495,716.75","24,661.20","10,143,224.37"
"Denmark","2,453.30","1.70","2,861.67","0.00","0.00","0.00","0.00","","0.00","0.00","5,316.67","Denmark","1,795.38","0.00","1,979.52","0.00","0.00","0.00","0.00","0.00","0.00","3,774.90"
"Djibouti","23,198.15","12,419.66","53,598.75","54.31","45.99","62.86","414.08","","0.00","577.24","89,793.80","Djibouti","29,317.86","28,382.61","46,505.03","43.50","40.94","62.84","387.39","0.00","0.00","104,740.17"
"Dominica","154.16","0.06","388.12","0.13","0.01","0.00","0.00","","0.00","0.14","542.48","Dominica","164.54","0.00","343.63","0.12","0.01","0.00","0.00","0.00","0.00","508.30"
"Dominican Republic","43,915.87","760.80","106,287.63","24.28","0.19","0.00","1,264.22","","409.83","1,698.52","152,662.82","Dominican Republic","33,382.40","1,075.61","224,643.85","20.99","0.16","0.00","1,286.76","0.00","204.80","260,409.77"
"Ecuador","80,742.68","1,699.77","83,500.91","2,328.78","372.67","1,516.62","0.00","","0.00","4,218.07","170,161.43","Ecuador","75,838.65","2,476.53","46,634.87","2,128.62","290.35","1,457.38","0.00","0.00","0.00","128,826.40"
"Egypt","175,712.22","24.80","21,029.30","430.60","1,662.96","1.20","200,561.91","","516.67","203,173.35","399,939.66","Egypt","70,227.58","509.62","6,678.75","407.29","1,676.23","1.22","63,574.98","0.00","527.47","143,075.67"
"El Salvador","10,998.65","6.96","31,832.21","55.61","313.94","12.61","0.00","","0.00","382.16","43,219.98","El Salvador","6,993.60","0.00","10,003.02","38.44","173.57","7.96","0.00","0.00","0.00","17,216.58"
"Equatorial Guinea","12,723.65","83,099.04","68,064.13","595.47","179.48","147.58","567.82","","1,123.62","2,613.96","166,500.79","Equatorial Guinea","11,312.63","65,540.59","78,780.36","383.29","168.05","129.84","592.05","1,472.37","1,177.26","158,379.17"
"Eritrea","232,667.07","211,107.27","93,361.48","673.32","112.91","34.04","4,381.41","","165.94","5,367.62","542,503.44","Eritrea","236,737.75","164,836.21","64,039.77","578.08","111.52","36.86","4,228.52","0.00","181.88","470,568.71"
"Estonia","3,692.67","4.33","13,432.94","0.02","0.00","0.00","0.00","","0.00","0.02","17,129.96","Estonia","2,891.57","0.00","2,268.19","0.01","0.00","0.00","0.00","0.00","0.00","5,159.77"
"Ethiopia","3,907,205.59","2,908,331.79","1,429,163.57","29,160.58","14,732.71","4,618.16","222,618.47","","1,086.30","272,216.22","8,516,917.18","Ethiopia","3,686,182.13","1,943,992.69","1,719,188.10","20,519.08","14,749.02","4,858.74","215,708.89","28,401.22","1,138.88","7,633,599.87"
"Fiji","3,984.27","27.30","1,244.20","151.04","287.21","20.62","0.00","","1,224.44","1,683.31","6,939.09","Fiji","2,673.96","0.00","583.22","120.03","249.18","20.55","0.00","0.00","283.29","3,646.95"
"Finland","2,802.19","1.69","1,224.50","0.00","0.00","0.00","0.00","","0.00","0.00","4,028.37","Finland","2,398.30","0.00","459.32","0.00","0.00","0.00","0.00","0.00","0.00","2,857.62"
"France","46,807.92","18.00","48,931.28","0.00","0.00","0.00","12.86","","0.00","12.86","95,770.07","France","37,158.42","0.00","23,698.16","0.00","0.00","0.00","0.00","0.00","0.00","60,856.57"
"French Polynesia","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","French Polynesia","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Gabon","27,281.07","109,318.13","118,619.79","1,275.12","403.81","376.53","3,185.38","","1,205.55","6,446.40","261,665.39","Gabon","45,066.63","80,988.48","86,364.83","1,333.89","437.12","469.77","3,290.92","0.00","1,324.52","217,951.64"
"Gambia","32,024.47","109,537.41","49,212.35","160.01","103.46","0.18","5,764.29","","2,144.58","8,172.51","198,946.75","Gambia","0.00","0.00","0.00","131.43","109.85","0.20","6,285.73","0.00","2,219.90","6,527.20"
"Georgia","29,888.50","5.70","6,471.28","0.00","0.04","0.00","0.00","","0.00","0.04","36,365.53","Georgia","18,378.99","0.00","2,304.83","0.00","0.00","0.00","0.00","0.00","0.00","20,683.82"
"Germany","33,309.62","27.25","29,296.12","0.00","0.00","0.00","0.00","","0.00","0.00","62,632.98","Germany","22,856.85","0.00","30,404.56","0.00","0.00","0.00","0.00","0.00","0.00","53,261.41"
"Ghana","309,937.85","2,469,483.00","957,058.74","2,895.57","1,243.12","2.92","52,187.32","","21,501.54","77,830.48","3,814,310.07","Ghana","255,694.65","1,536,371.95","935,264.07","2,409.60","1,285.39","3.13","41,992.34","0.00","8,655.40","2,773,021.12"
"Greece","5,739.96","4.30","26,674.35","0.00","0.00","0.00","0.00","","0.00","0.00","32,418.61","Greece","6,811.23","0.00","2,626.97","0.00","0.00","0.00","0.00","0.00","0.00","9,438.20"
"Greenland","129.59","0.00","85.58","0.00","0.00","0.00","0.00","","0.00","0.00","215.17","Greenland","54,290.61","0.00","77.26","0.00","0.00","0.00","0.00","0.00","0.00","54,367.87"
"Grenada","181.54","0.09","718.41","1.26","15.43","0.02","0.00","","0.00","16.71","916.75","Grenada","191.58","0.00","494.91","1.20","14.50","0.02","0.00","0.00","0.00","702.21"
"Guam","0.00","0.00","0.00","0.88","0.02","0.00","0.00","","0.00","0.90","0.90","Guam","0.00","0.00","254.82","0.83","0.02","0.00","0.00","0.00","0.00","255.67"
"Guatemala","96,741.05","2,933.74","98,583.86","2,141.97","6,243.79","1,195.70","0.00","","0.00","9,581.46","207,840.11","Guatemala","32,750.97","6,386.67","34,796.89","1,711.00","4,858.54","1,039.29","0.00","0.00","0.00","81,543.35"
"Guinea","296,640.97","2,042,353.91","220,683.12","12,000.58","4,138.20","104.24","34,871.72","","11,766.04","62,880.79","2,622,558.79","Guinea","268,693.16","1,451,428.25","298,412.53","10,673.86","4,376.40","112.69","35,918.93","0.00","12,523.83","2,069,615.82"
"Guinea-Bissau","52,847.14","526,641.20","45,456.13","1,340.84","352.10","1.51","4,604.01","","3,332.33","9,630.80","634,575.26","Guinea-Bissau","54,508.63","376,953.20","122,331.29","966.91","266.94","1.23","4,518.02","0.00","3,439.97","559,546.23"
"Guyana","6,716.75","701.71","22,224.25","35.50","23.32","4.25","0.00","","1,571.88","1,634.95","31,277.65","Guyana","3,111.24","587.94","12,319.00","28.75","20.45","3.63","0.00","0.00","1,520.06","16,071.01"
"Haiti","391,013.08","45,643.93","119,895.61","1,250.44","213.14","11.33","0.00","","32,543.48","34,018.40","590,571.02","Haiti","151,099.09","22,672.03","478,037.43","861.90","163.88","8.51","0.00","0.00","28,410.74","652,842.84"
"Honduras","33,645.41","1,137.68","73,592.41","932.75","255.66","916.08","0.00","","0.00","2,104.49","110,479.99","Honduras","14,451.60","3,601.38","21,424.51","839.23","238.75","859.80","0.00","0.00","0.00","41,415.29"
"Hungary","13,902.30","7.93","7,976.11","0.00","0.00","0.00","0.00","","0.00","0.00","21,886.34","Hungary","7,678.91","0.00","1,347.84","0.00","0.00","0.00","0.00","0.00","0.00","9,026.74"
"Iceland","116.82","0.10","385.18","0.00","0.00","0.00","0.00","","0.00","0.00","502.10","Iceland","0.00","0.00","96.55","0.00","0.00","0.00","0.00","0.00","0.00","96.55"
"India","32,342,894.68","2,778,955.62","9,333,642.96","120,208.53","99,815.25","9,750.03","0.00","","412,351.29","642,125.10","45,097,618.36","India","38,908,046.37","6,620,045.75","6,587,391.32","106,932.81","97,428.92","9,758.13","0.00","0.00","293,622.88","52,329,603.31"
"Indonesia","11,958,217.01","775,237.79","687,939.41","29,752.84","11,341.64","1,605.43","673.28","","248,934.97","292,308.16","13,713,702.37","Indonesia","6,215,289.76","205,906.57","466,409.58","23,960.85","11,551.38","1,540.55","474.92","0.00","189,507.29","6,925,133.61"
"Iran","121,354.82","346.78","115,657.05","143.16","126.86","0.00","270.18","","0.00","540.20","237,898.85","Iran","85,133.38","816.59","20,255.62","130.23","120.44","0.00","263.84","0.00","0.00","106,720.11"
"Iraq","129,151.88","46.80","461.89","75.20","1.36","0.01","4,938.40","","0.00","5,014.97","134,675.53","Iraq","88,509.39","100.00","12,291.55","69.43","1.40","0.02","5,287.52","0.00","0.00","106,259.30"
"Ireland","2,433.45","1.74","1,724.01","0.00","0.00","0.00","0.00","","0.00","0.00","4,159.20","Ireland","1,805.31","0.00","935.82","0.00","0.00","0.00","0.00","0.00","0.00","2,741.13"
"Israel","2,742.01","3.35","3,246.13","0.00","0.00","0.00","0.00","","0.00","0.00","5,991.49","Israel","1,788.56","0.00","2,860.66","0.00","0.00","0.00","0.00","0.00","0.00","4,649.23"
"Italy","26,818.71","15.02","55,292.47","0.00","0.00","0.00","0.00","","0.00","0.00","82,126.19","Italy","20,104.95","0.00","48,140.84","0.00","0.00","0.00","0.00","0.00","0.00","68,245.79"
"Jamaica","1,647.80","2.32","61,772.02","410.75","148.15","154.60","0.00","","0.00","713.50","64,135.64","Jamaica","2,557.13","0.00","7,923.26","382.75","133.35","133.00","0.00","0.00","0.00","11,129.49"
"Japan","228,193.22","9.94","6,794.47","0.00","0.00","0.00","52.42","","0.00","52.42","235,050.05","Japan","118,406.64","0.00","9,515.67","0.00","0.00","0.00","0.00","0.00","0.00","127,922.31"
"Jordan","5,787.19","1.85","1,269.46","322.08","75.69","4.48","185.53","","0.00","587.78","7,646.28","Jordan","1,983.71","0.00","373.07","348.25","80.74","4.64","193.17","0.00","0.00","2,983.58"
"Kazakhstan","247,843.74","4.84","36,210.08","1,344.50","0.22","0.00","0.00","","0.00","1,344.73","285,403.39","Kazakhstan","200,689.17","0.00","18,558.85","1,443.64","0.22","0.00","0.00","0.00","0.00","220,691.87"
"Kenya","1,003,130.27","2,444,864.17","3,365,417.95","3,128.91","2,588.72","148.19","65,765.44","","778.45","72,409.71","6,885,822.11","Kenya","1,447,196.27","846,698.84","3,014,128.27","2,712.18","2,643.49","156.49","67,535.18","0.00","924.28","5,381,070.72"
"Kiribati","2,524.44","2.79","197.68","0.97","9.68","0.80","0.00","","0.00","11.46","2,736.37","Kiribati","1,341.05","0.00","27.98","0.79","8.89","0.79","0.00","0.00","0.00","1,379.50"
"Kuwait","6,626.34","2.72","2,745.53","0.00","0.00","0.00","0.00","","0.00","0.00","9,374.59","Kuwait","2,648.69","0.00","278.12","0.00","0.00","0.00","0.00","0.00","0.00","2,926.82"
"Kyrgyzstan","57,932.08","9.30","39,261.64","637.82","0.06","0.00","0.00","","0.00","637.89","97,840.90","Kyrgyzstan","50,727.56","0.00","13,800.69","669.82","0.07","0.00","0.00","0.00","0.00","65,198.15"
"Lao People's Democratic Republic","176,114.54","43,345.47","14,573.64","5,461.48","764.66","447.80","2,614.78","","276.85","9,565.57","243,599.21","Lao People's Democratic Republic","108,628.79","8,489.24","0.00","4,395.80","683.43","409.70","1,507.38","0.00","228.14","124,114.35"
"Latvia","10,220.97","6.48","20,107.08","0.08","0.00","0.00","0.00","","0.00","0.08","30,334.61","Latvia","5,483.72","0.00","6,217.89","0.05","0.00","0.00","0.00","0.00","0.00","11,701.66"
