"","2010","","","","","","","","","","","2015","","","","","","","","",""
"Country","TB","Malaria ","HIV","RoundWorm","HookWorm","WhipWorm","Schistosomiasis","Onchocerciasis","LF","Total","Country","TB","Malaria ","HIV","RoundWorm","HookWorm","WhipWorm","Schistosomiasis","Onchocerciasis","LF","Total"
"Sum","103,250,127.64","134,422,768.33","85,818,380.20","1,094,508.31","  474,664.35 ","  109,507.00 ","  2,579,472.93 ","N/A - No model","  1,732,635.42 ","329,482,064.18","Sum","76,261,545.58","78,948,265.27","67,509,388.00","1,051,386.93","464,008.26","109,689.68","2,020,817.18","995,761.15","1,233,742.08","228,594,604.13"
"Afghanistan","971,911.13","246,339.27","24,069.09","  12,940.67 ","  227.23 ","  213.53 ","  -   ","","  -   ","1,255,700.92","Afghanistan","377,366.47","311,410.68","10,846.11","15,161.43","266.75","238.25","0.00","2,790.64","0.00","718,080.33"
"Albania","5,227.81","3.62","2,038.61","  1.56 ","  -   ","  -   ","  -   ","","  -   ","7,271.59","Albania","716.65","0.00","98.50","0.97","0.00","0.00","0.00","0.00","0.00","816.12"
"Algeria","202,547.44","12.60","51,642.56","  157.11 ","  0.38 ","  1.57 ","  5,615.93 ","","  -   ","259,977.61","Algeria","110,119.63","242.21","12,296.77","140.46","0.43","1.58","5,620.39","0.00","0.00","128,421.47"
"American Samoa","0.00","0.00","0.00","  -   ","  -   ","  -   ","  -   ","","  121.68 ","121.68","American Samoa","56.73","0.83","28.73","0.00","0.00","0.00","0.00","0.00","141.12","227.42"
"Andorra","60.40","0.06","0.00","  -   ","  -   ","  -   ","  -   ","","  -   ","60.46","Andorra","17.20","0.00","84.06","0.00","0.00","0.00","0.00","0.00","0.00","101.26"
"Angola","524,757.47","5,911.28","711,773.20","  13,881.11 ","  5,387.66 ","  672.17 ","  28,952.22 ","","  21,679.42 ","1,313,014.53","Angola","586,517.74","1,525,712.74","652,935.65","6,997.93","6,115.16","798.49","27,581.95","6,916.41","26,015.12","2,839,591.17"
"Anguilla","0.00","0.00","0.00","  -   ","  -   ","  -   ","  -   ","","  -   ","0.00","Anguilla","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.25","0.00","1.25"
"Antigua and Barbuda","62.99","0.07","410.00","  0.05 ","  0.00 ","  -   ","  19.50 ","","  -   ","492.61","Antigua and Barbuda","46.93","0.00","417.05","0.05","0.00","0.00","21.36","0.00","0.00","485.39"
"Argentina","66,142.56","38.77","91,482.58","  203.11 ","  733.32 ","  1.44 ","  -   ","","  -   ","158,601.78","Argentina","37,559.67","216.76","92,639.78","188.20","728.15","1.42","0.00","0.00","0.00","131,333.97"
"Armenia","14,640.33","1.00","6,795.21","  1.22 ","  0.08 ","  -   ","  -   ","","  -   ","21,437.83","Armenia","7,822.68","0.00","799.83","0.93","0.07","0.00","0.00","0.00","0.00","8,623.51"
"Aruba","0.00","0.00","0.00","  -   ","  -   ","  -   ","  -   ","","  -   ","0.00","Aruba","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Australia","5,317.79","80.38","8,231.23","  -   ","  -   ","  -   ","  -   ","","  -   ","13,629.40","Australia","2,481.32","0.00","4,951.85","0.00","0.00","0.00","0.00","0.00","0.00","7,433.17"
"Austria","4,021.01","2.24","3,846.19","  -   ","  -   ","  -   ","  -   ","","  -   ","7,869.43","Austria","2,085.59","0.00","2,459.37","0.00","0.00","0.00","0.00","0.00","0.00","4,544.96"
"Azerbaijan","74,602.31","12.26","8,138.17","  29.04 ","  0.09 ","  -   ","  -   ","","  -   ","82,781.86","Azerbaijan","60,557.77","72.21","5,123.19","16.15","0.10","0.00","0.00","0.00","0.00","65,769.41"
"Bahamas","496.51","0.50","0.00","  0.15 ","  0.00 ","  -   ","  -   ","","  -   ","497.16","Bahamas","449.17","0.00","0.00","0.14","0.00","0.00","0.00","0.00","0.00","449.32"
"Bahrain","2,353.34","0.60","3,598.91","  -   ","  0.01 ","  -   ","  -   ","","  -   ","5,952.86","Bahrain","898.16","0.00","1,157.54","0.00","0.01","0.00","0.00","0.00","0.00","2,055.71"
"Bangladesh","2,391,793.15","201,174.95","12,305.62","  62,667.19 ","  39,713.58 ","  11,055.45 ","  -   ","","  126,731.86 ","2,845,441.81","Bangladesh","1,258,921.35","166,237.40","14,997.95","132,769.52","41,668.50","13,681.63","0.00","0.00","7,655.22","1,635,931.57"
"Barbados","156.60","0.31","2,069.16","  -   ","  0.00 ","  -   ","  -   ","","  -   ","2,226.07","Barbados","78.81","0.00","1,214.21","0.00","0.00","0.00","0.00","0.00","0.00","1,293.02"
"Belarus","57,324.06","25.42","13,724.25","  -   ","  -   ","  -   ","  -   ","","  -   ","71,073.73","Belarus","29,202.07","0.00","26,088.96","0.00","0.00","0.00","0.00","0.00","0.00","55,291.02"
"Belgium","6,471.34","4.52","5,291.82","  -   ","  -   ","  -   ","  -   ","","  -   ","11,767.69","Belgium","2,829.87","0.00","2,967.75","0.00","0.00","0.00","0.00","0.00","0.00","5,797.62"
"Belize","1,107.53","109.62","9,961.98","  12.16 ","  8.74 ","  0.10 ","  -   ","","  -   ","11,200.14","Belize","1,073.03","8.71","4,962.91","9.25","3.95","0.06","0.00","0.00","0.00","6,057.91"
"Benin","175,295.84","2,105,858.44","154,766.30","  3,214.19 ","  660.14 ","  0.45 ","  44,443.19 ","","  8,723.25 ","2,492,961.79","Benin","199,239.37","877,378.45","139,841.37","2,577.39","735.50","0.50","39,477.25","474.48","5,887.51","1,265,611.83"
"Bermuda","0.00","0.00","0.00","  -   ","  0.00 ","  -   ","  -   ","","  -   ","0.00","Bermuda","6.80","0.32","426.69","0.00","0.00","0.00","0.00","0.01","0.00","433.82"
"Bhutan","10,820.73","817.85","1,782.51","  79.53 ","  8.65 ","  0.29 ","  -   ","","  -   ","13,509.55","Bhutan","11,211.26","1,765.37","929.69","36.54","8.23","0.27","0.00","0.00","0.00","13,951.36"
"Bolivia","137,292.45","1,652.47","63,298.61","  633.18 ","  1,756.42 ","  34.52 ","  -   ","","  -   ","204,667.64","Bolivia","52,326.22","282.02","4,555.08","403.21","1,738.41","35.64","0.00","0.00","0.00","59,340.58"
"Bonaire, Saint Eustatius and Saba","0.00","0.00","0.00","  -   ","  -   ","  -   ","  -   ","","  -   ","0.00","Bonaire, Saint Eustatius and Saba","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Bosnia and Herzegovina","13,158.24","3.59","2,392.33","  -   ","  -   ","  -   ","  -   ","","  -   ","15,554.16","Bosnia and Herzegovina","6,005.25","0.00","140.67","0.00","0.00","0.00","0.00","0.00","0.00","6,145.92"
"Botswana","37,911.88","15,603.75","241,276.27","  20.87 ","  477.99 ","  95.55 ","  2,934.93 ","","  -   ","298,321.24","Botswana","129,036.91","3,602.42","465,055.33","16.80","482.54","99.10","3,718.29","0.00","0.00","602,011.39"
"Brazil","598,862.35","15,441.84","1,019,780.81","  7,233.14 ","  8,169.70 ","  2,550.35 ","  130,174.17 ","","  218.14 ","1,782,430.50","Brazil","386,929.08","9,698.53","1,056,445.68","6,464.55","7,328.54","2,392.95","107,354.16","22.17","15.30","1,576,650.96"
"British Virgin Islands","0.00","0.00","0.00","  -   ","  -   ","  -   ","  -   ","","  -   ","0.00","British Virgin Islands","28.57","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","28.57"
"Brunei Darussalam","1,290.13","0.09","218.10","  0.24 ","  -   ","  -   ","  -   ","","  37.82 ","1,546.37","Brunei Darussalam","724.59","6.00","0.00","0.23","0.00","0.00","0.00","0.00","0.00","730.82"
"Bulgaria","19,954.83","6.02","9,669.64","  -   ","  -   ","  -   ","  -   ","","  -   ","29,630.48","Bulgaria","5,756.21","0.00","2,598.95","0.00","0.00","0.00","0.00","0.00","0.00","8,355.16"
"Burkina Faso","371,895.05","5,069,997.95","371,597.06","  6,753.38 ","  1,321.85 ","  0.22 ","  46,426.08 ","","  32,381.39 ","5,900,372.98","Burkina Faso","465,248.29","3,055,258.25","190,187.55","5,973.60","1,398.84","0.23","13,732.39","0.00","13,715.62","3,745,514.76"
"Burundi","836,517.96","1,190,933.60","566,036.45","  3,166.15 ","  3,822.89 ","  183.32 ","  21,184.61 ","","  -   ","2,621,844.97","Burundi","397,404.78","472,734.85","223,756.50","3,478.41","3,637.23","173.45","14,220.89","10,860.31","0.00","1,126,266.43"
"Cambodia","405,360.20","109,004.81","86,290.55","  418.02 ","  193.04 ","  -   ","  35,700.61 ","","  454.22 ","637,421.43","Cambodia","207,758.23","80,181.29","142,386.79","175.72","35.06","0.00","8,822.70","10.87","1,245.34","440,616.00"
"Cameroon","334,160.28","3,519,956.25","1,707,691.27","  219,824.60 ","  5,441.11 ","  2,617.39 ","  57,566.40 ","","  30,691.15 ","5,877,948.46","Cameroon","241,574.77","2,007,457.78","1,962,890.79","20,966.76","3,404.07","1,506.69","36,778.36","78,728.29","24,433.17","4,377,740.68"
"Canada","9,427.47","115.87","33,172.09","  -   ","  -   ","  -   ","  -   ","","  -   ","42,715.43","Canada","4,294.14","0.00","16,515.62","0.00","0.00","0.00","0.00","152.93","0.00","20,962.69"
"Cape Verde","3,172.94","4,643.77","5,964.21","  0.64 ","  1.00 ","  0.00 ","  -   ","","  -   ","13,782.57","Cape Verde","1,471.96","0.00","5,138.51","0.37","0.81","0.00","0.00","0.00","0.00","6,611.66"
"Cayman Islands","0.00","0.00","0.00","  -   ","  -   ","  -   ","  -   ","","  -   ","0.00","Cayman Islands","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Central African Republic","319,525.99","757,572.80","509,405.72","  6,695.56 ","  2,210.69 ","  39.11 ","  4,657.86 ","","  9,366.13 ","1,609,473.86","Central African Republic","296,092.59","540,080.70","443,104.02","6,181.54","2,330.83","41.22","4,112.03","21,207.75","10,261.59","1,323,412.27"
"Chad","377,528.46","1,555,816.82","519,001.10","  6,257.48 ","  4,191.14 ","  0.22 ","  27,040.55 ","","  12,242.84 ","2,502,078.61","Chad","302,187.17","1,096,595.44","517,780.53","5,990.10","5,076.74","0.25","34,407.37","11,733.69","14,737.80","1,988,509.10"
"Chile","32,962.27","5.07","32,178.17","  318.15 ","  0.16 ","  11.89 ","  -   ","","  -   ","65,475.71","Chile","21,737.94","0.00","22,379.81","307.59","0.10","11.21","0.00","4.48","0.00","44,441.13"
"China","3,670,429.36","12,290.16","1,807,612.53","  9,505.75 ","  34,728.69 ","  2,068.43 ","  48,561.28 ","","  -   ","5,585,196.21","China","3,493,360.12","12,279.59","1,956,683.12","6,527.34","29,513.24","1,900.39","24,057.89","0.00","0.00","5,524,321.69"
"China, Hong Kong SAR","0.00","0.00","0.00","  -   ","  -   ","  -   ","  -   ","","  -   ","0.00","China, Hong Kong SAR","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"China, Macao SAR","0.00","0.00","0.00","  -   ","  -   ","  -   ","  -   ","","  -   ","0.00","China, Macao SAR","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Colombia","113,127.61","4,280.75","481,796.02","  8,948.44 ","  6,289.68 ","  4,323.06 ","  -   ","","  -   ","618,765.57","Colombia","51,165.49","3,995.51","149,275.41","6,229.72","5,097.07","1,830.30","0.00","0.00","0.00","217,593.48"
"Comoros","21,589.08","51,431.73","14.41","  364.26 ","  244.28 ","  176.09 ","  -   ","","  1,069.96 ","74,889.81","Comoros","15,727.66","4,373.89","1,019.56","224.55","260.19","247.45","0.00","0.00","1,141.63","22,994.93"
"Congo","117,862.05","433,931.35","268,259.56","  2,627.97 ","  1,289.81 ","  759.38 ","  11,189.29 ","","  7,865.25 ","843,784.66","Congo","64,568.64","238,988.50","274,305.60","3,964.85","1,545.22","955.21","10,738.00","1,475.19","3,772.94","600,314.15"
"Cook Islands","0.00","0.00","0.00","  -   ","  -   ","  -   ","  -   ","","  -   ","0.00","Cook Islands","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.42","0.00","0.42"
"Costa Rica","5,764.89","2.98","8,911.12","  191.83 ","  313.82 ","  24.41 ","  -   ","","  -   ","15,209.05","Costa Rica","2,584.09","19.73","7,488.27","174.67","324.51","23.08","0.00","0.00","0.00","10,614.35"
"C??te d'Ivoire","525,963.68","3,335,139.83","1,396,911.38","  8,394.07 ","  6,287.90 ","  307.09 ","  89,156.60 ","","  29,068.25 ","5,391,228.81","C??te d'Ivoire","373,921.95","2,782,896.15","0.00","9,605.24","6,646.48","336.90","72,526.26","0.00","33,086.38","3,279,019.37"
"Croatia","7,162.03","3.51","993.74","  -   ","  -   ","  -   ","  -   ","","  -   ","8,159.27","Croatia","2,692.81","0.00","297.40","0.00","0.00","0.00","0.00","0.00","0.00","2,990.20"
"Cuba","7,649.56","8.48","21,902.92","  615.36 ","  906.10 ","  24.32 ","  -   ","","  -   ","31,106.74","Cuba","2,086.91","0.00","16,359.03","575.51","876.12","22.90","0.00","0.00","0.00","19,920.47"
"Cura????ao","0.00","0.00","0.00","  -   ","  -   ","  -   ","  -   ","","  -   ","0.00","Cura????ao","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Cyprus","244.00","0.35","588.48","  -   ","  -   ","  -   ","  -   ","","  -   ","832.83","Cyprus","156.07","0.00","159.93","0.00","0.00","0.00","0.00","0.00","0.00","316.00"
"Czech Republic","6,599.44","9.36","982.18","  -   ","  -   ","  -   ","  -   ","","  -   ","7,590.98","Czech Republic","2,260.76","0.00","704.50","0.00","0.00","0.00","0.00","0.00","0.00","2,965.27"
"Democratic People's Republic of Korea","367,445.34","33.52","9,291.26","  824.02 ","  0.31 ","  0.00 ","  -   ","","  -   ","377,594.45","Democratic People's Republic of Korea","128,992.46","0.00","0.00","599.15","0.31","0.00","0.00","0.00","0.00","129,591.92"
"Democratic Republic of the Congo","3,730,361.07","12,426,837.43","2,802,918.31","  70,591.47 ","  21,981.50 ","  4,020.57 ","  190,912.35 ","","  23,392.40 ","19,271,015.10","Democratic Republic of the Congo","2,542,715.95","6,979,604.26","2,094,815.44","265,246.67","29,984.24","5,303.73","196,767.08","475,864.95","25,408.73","12,615,711.05"
"Denmark","2,453.30","1.70","2,861.67","  -   ","  -   ","  -   ","  -   ","","  -   ","5,316.67","Denmark","1,171.67","0.00","1,596.09","0.00","0.00","0.00","0.00","2,565.70","0.00","5,333.47"
"Djibouti","23,198.15","12,419.66","53,598.75","  54.31 ","  45.99 ","  62.86 ","  414.08 ","","  -   ","89,793.80","Djibouti","20,457.56","256.99","21,142.82","36.45","40.35","63.38","372.41","0.00","0.00","42,369.96"
"Dominica","154.16","0.06","388.12","  0.13 ","  0.01 ","  -   ","  -   ","","  -   ","542.48","Dominica","192.57","0.00","308.32","0.11","0.01","0.00","0.00","0.00","0.00","501.00"
"Dominican Republic","43,915.87","760.80","106,287.63","  24.28 ","  0.19 ","  -   ","  1,264.22 ","","  409.83 ","152,662.82","Dominican Republic","35,346.69","409.22","98,193.53","19.00","0.14","0.00","1,311.97","0.00","126.91","135,407.47"
"Ecuador","80,742.68","1,699.77","83,500.91","  2,328.78 ","  372.67 ","  1,516.62 ","  -   ","","  -   ","170,161.43","Ecuador","54,736.89","1,135.69","37,732.11","2,045.97","255.10","1,418.56","0.00","0.00","0.00","97,324.32"
"Egypt","175,712.22","24.80","21,029.30","  430.60 ","  1,662.96 ","  1.20 ","  200,561.91 ","","  516.67 ","399,939.66","Egypt","61,486.00","590.54","11,468.03","412.45","1,728.35","1.27","43,921.26","0.00","530.64","120,138.53"
"El Salvador","10,998.65","6.96","31,832.21","  55.61 ","  313.94 ","  12.61 ","  -   ","","  -   ","43,219.98","El Salvador","6,141.60","59.99","27,119.92","33.81","118.34","6.00","0.00","0.00","0.00","33,479.66"
"Equatorial Guinea","12,723.65","83,099.04","68,064.13","  595.47 ","  179.48 ","  147.58 ","  567.82 ","","  1,123.62 ","166,500.79","Equatorial Guinea","9,990.52","93,679.82","45,635.62","889.05","206.28","184.13","633.33","1,315.43","1,207.41","153,741.59"
"Eritrea","232,667.07","211,107.27","93,361.48","  673.32 ","  112.91 ","  34.04 ","  4,381.41 ","","  165.94 ","542,503.44","Eritrea","173,112.58","30,686.08","52,139.24","501.76","117.12","38.51","4,173.12","1.54","190.79","260,960.74"
"Estonia","3,692.67","4.33","13,432.94","  0.02 ","  -   ","  -   ","  -   ","","  -   ","17,129.96","Estonia","1,734.18","0.00","1,867.79","0.01","0.00","0.00","0.00","0.00","0.00","3,601.98"
"Ethiopia","3,907,205.59","2,908,331.79","1,429,163.57","  29,160.58 ","  14,732.71 ","  4,618.16 ","  222,618.47 ","","  1,086.30 ","8,516,917.18","Ethiopia","3,386,652.65","223,033.44","1,649,245.97","16,941.28","14,800.46","4,966.08","228,299.74","25,148.53","1,168.21","5,550,256.37"
"Fiji","3,984.27","27.30","1,244.20","  151.04 ","  287.21 ","  20.62 ","  -   ","","  1,224.44 ","6,939.09","Fiji","2,367.52","0.00","1,288.26","125.11","248.02","20.86","0.00","3.27","107.29","4,160.33"
"Finland","2,802.19","1.69","1,224.50","  -   ","  -   ","  -   ","  -   ","","  -   ","4,028.37","Finland","1,594.78","0.00","395.10","0.00","0.00","0.00","0.00","0.00","0.00","1,989.88"
"France","46,807.92","18.00","48,931.28","  -   ","  -   ","  -   ","  12.86 ","","  -   ","95,770.07","France","24,791.34","0.00","26,183.84","0.00","0.00","0.00","0.00","0.00","0.00","50,975.17"
"French Polynesia","0.00","0.00","0.00","  -   ","  -   ","  -   ","  -   ","","  -   ","0.00","French Polynesia","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Gabon","27,281.07","109,318.13","118,619.79","  1,275.12 ","  403.81 ","  376.53 ","  3,185.38 ","","  1,205.55 ","261,665.39","Gabon","15,430.55","51,896.17","63,545.14","1,373.59","456.82","496.96","3,546.52","0.00","1,392.27","138,138.02"
"Gambia","32,024.47","109,537.41","49,212.35","  160.01 ","  103.46 ","  0.18 ","  5,764.29 ","","  2,144.58 ","198,946.75","Gambia","21,632.00","16,741.05","0.00","115.86","117.03","0.21","7,154.35","0.00","2,245.69","48,006.18"
"Georgia","29,888.50","5.70","6,471.28","  0.00 ","  0.04 ","  -   ","  -   ","","  -   ","36,365.53","Georgia","15,354.94","0.00","1,762.50","0.00","0.02","0.00","0.00","0.00","0.00","17,117.46"
"Germany","33,309.62","27.25","29,296.12","  -   ","  -   ","  -   ","  -   ","","  -   ","62,632.98","Germany","13,994.08","0.00","21,436.78","0.00","0.00","0.00","0.00","0.00","0.00","35,430.85"
"Ghana","309,937.85","2,469,483.00","957,058.74","  2,895.57 ","  1,243.12 ","  2.92 ","  52,187.32 ","","  21,501.54 ","3,814,310.07","Ghana","286,770.10","1,282,048.67","624,132.54","2,041.57","1,315.35","3.26","36,744.60","0.00","4,751.33","2,237,807.42"
"Greece","5,739.96","4.30","26,674.35","  -   ","  -   ","  -   ","  -   ","","  -   ","32,418.61","Greece","4,775.83","0.00","934.74","0.00","0.00","0.00","0.00","0.00","0.00","5,710.57"
"Greenland","129.59","0.00","85.58","  -   ","  -   ","  -   ","  -   ","","  -   ","215.17","Greenland","0.00","0.00","89.53","0.00","0.00","0.00","0.00","0.00","0.00","89.53"
"Grenada","181.54","0.09","718.41","  1.26 ","  15.43 ","  0.02 ","  -   ","","  -   ","916.75","Grenada","93.26","0.00","697.06","1.22","14.27","0.02","0.00","0.00","0.00","805.83"
"Guam","0.00","0.00","0.00","  0.88 ","  0.02 ","  -   ","  -   ","","  -   ","0.90","Guam","256.58","3.94","207.02","0.85","0.02","0.00","0.00","0.00","0.00","468.40"
"Guatemala","96,741.05","2,933.74","98,583.86","  2,141.97 ","  6,243.79 ","  1,195.70 ","  -   ","","  -   ","207,840.11","Guatemala","24,270.31","1,666.02","39,277.86","1,462.40","4,222.19","947.24","0.00","0.00","0.00","71,846.02"
"Guinea","296,640.97","2,042,353.91","220,683.12","  12,000.58 ","  4,138.20 ","  104.24 ","  34,871.72 ","","  11,766.04 ","2,622,558.79","Guinea","261,801.20","1,704,254.91","285,439.56","9,740.31","4,548.57","116.55","38,867.48","0.00","13,055.68","2,317,824.28"
"Guinea-Bissau","52,847.14","526,641.20","45,456.13","  1,340.84 ","  352.10 ","  1.51 ","  4,604.01 ","","  3,332.33 ","634,575.26","Guinea-Bissau","52,839.67","71,313.78","99,248.25","805.29","234.48","1.07","4,646.60","0.00","3,520.07","232,609.20"
"Guyana","6,716.75","701.71","22,224.25","  35.50 ","  23.32 ","  4.25 ","  -   ","","  1,571.88 ","31,277.65","Guyana","4,602.68","480.10","25,233.53","25.89","18.60","3.30","0.00","0.00","1,493.29","31,857.39"
"Haiti","391,013.08","45,643.93","119,895.61","  1,250.44 ","  213.14 ","  11.33 ","  -   ","","  32,543.48 ","590,571.02","Haiti","61,926.33","4,923.85","361,008.82","654.86","142.57","7.03","0.00","0.00","27,110.62","455,774.10"
"Honduras","33,645.41","1,137.68","73,592.41","  932.75 ","  255.66 ","  916.08 ","  -   ","","  -   ","110,479.99","Honduras","26,158.49","542.40","33,106.64","796.48","237.72","820.74","0.00","0.00","0.00","61,662.47"
"Hungary","13,902.30","7.93","7,976.11","  -   ","  -   ","  -   ","  -   ","","  -   ","21,886.34","Hungary","3,323.59","0.00","1,748.93","0.00","0.00","0.00","0.00","0.00","0.00","5,072.52"
"Iceland","116.82","0.10","385.18","  -   ","  -   ","  -   ","  -   ","","  -   ","502.10","Iceland","62.63","0.00","60.81","0.00","0.00","0.00","0.00","0.00","0.00","123.44"
"India","32,342,894.68","2,778,955.62","9,333,642.96","  120,208.53 ","  99,815.25 ","  9,750.03 ","  -   ","","  412,351.29 ","45,097,618.36","India","31,102,490.17","4,453,021.63","6,876,651.83","97,460.99","95,300.57","9,685.03","0.00","0.00","236,377.84","42,870,988.06"
"Indonesia","11,958,217.01","775,237.79","687,939.41","  29,752.84 ","  11,341.64 ","  1,605.43 ","  673.28 ","","  248,934.97 ","13,713,702.37","Indonesia","6,136,392.10","242,873.36","935,186.43","21,359.33","11,781.95","1,493.39","390.35","0.00","157,383.53","7,506,860.44"
"Iran","121,354.82","346.78","115,657.05","  143.16 ","  126.86 ","  0.00 ","  270.18 ","","  -   ","237,898.85","Iran","94,453.78","653.63","26,412.30","123.75","128.88","0.00","261.06","0.00","0.00","122,033.40"
"Iraq","129,151.88","46.80","461.89","  75.20 ","  1.36 ","  0.01 ","  4,938.40 ","","  -   ","134,675.53","Iraq","103,242.81","0.00","6,002.31","66.03","1.41","0.02","5,667.60","0.00","0.00","114,980.18"
"Ireland","2,433.45","1.74","1,724.01","  -   ","  -   ","  -   ","  -   ","","  -   ","4,159.20","Ireland","1,215.84","0.00","664.85","0.00","0.00","0.00","0.00","0.00","0.00","1,880.69"
"Israel","2,742.01","3.35","3,246.13","  -   ","  -   ","  -   ","  -   ","","  -   ","5,991.49","Israel","1,116.77","0.00","1,917.36","0.00","0.00","0.00","0.00","0.00","0.00","3,034.14"
"Italy","26,818.71","15.02","55,292.47","  -   ","  -   ","  -   ","  -   ","","  -   ","82,126.19","Italy","14,308.93","0.00","35,146.02","0.00","0.00","0.00","0.00","0.00","0.00","49,454.96"
"Jamaica","1,647.80","2.32","61,772.02","  410.75 ","  148.15 ","  154.60 ","  -   ","","  -   ","64,135.64","Jamaica","1,114.21","0.00","20,005.15","371.10","127.04","121.05","0.00","0.00","0.00","21,738.54"
"Japan","228,193.22","9.94","6,794.47","  -   ","  -   ","  -   ","  52.42 ","","  -   ","235,050.05","Japan","85,074.11","0.00","6,512.62","0.00","0.00","0.00","0.00","0.00","0.00","91,586.74"
"Jordan","5,787.19","1.85","1,269.46","  322.08 ","  75.69 ","  4.48 ","  185.53 ","","  -   ","7,646.28","Jordan","1,355.06","0.00","604.56","364.32","82.15","4.83","198.60","0.00","0.00","2,609.51"
"Kazakhstan","247,843.74","4.84","36,210.08","  1,344.50 ","  0.22 ","  -   ","  -   ","","  -   ","285,403.39","Kazakhstan","129,732.20","0.00","18,908.72","1,566.03","0.22","0.00","0.00","0.00","0.00","150,207.16"
"Kenya","1,003,130.27","2,444,864.17","3,365,417.95","  3,128.91 ","  2,588.72 ","  148.19 ","  65,765.44 ","","  778.45 ","6,885,822.11","Kenya","598,473.35","662,724.19","3,402,514.74","2,214.03","2,709.38","162.03","68,442.34","0.00","1,031.36","4,738,271.43"
"Kiribati","2,524.44","2.79","197.68","  0.97 ","  9.68 ","  0.80 ","  -   ","","  -   ","2,736.37","Kiribati","2,992.16","0.20","29.04","0.70","8.99","0.83","0.00","0.00","0.00","3,031.91"
"Kuwait","6,626.34","2.72","2,745.53","  -   ","  -   ","  -   ","  -   ","","  -   ","9,374.59","Kuwait","1,526.53","0.00","347.86","0.00","0.00","0.00","0.00","0.00","0.00","1,874.39"
"Kyrgyzstan","57,932.08","9.30","39,261.64","  637.82 ","  0.06 ","  -   ","  -   ","","  -   ","97,840.90","Kyrgyzstan","42,685.62","0.00","14,536.01","706.17","0.08","0.00","0.00","0.00","0.00","57,927.88"
"Lao People's Democratic Republic","176,114.54","43,345.47","14,573.64","  5,461.48 ","  764.66 ","  447.80 ","  2,614.78 ","","  276.85 ","243,599.21","Lao People's Democratic Republic","57,438.05","8,490.56","0.00","3,795.80","636.39","384.69","1,071.68","0.00","202.46","72,019.63"
"Latvia","10,220.97","6.48","20,107.08","  0.08 ","  -   ","  -   ","  -   ","","  -   ","30,334.61","Latvia","3,479.14","0.00","5,418.38","0.04","0.00","0.00","0.00","0.00","0.00","8,897.56"
